what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464590124
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1330464593693
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1330464593805
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464593833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464595917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464596407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464598425
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330464603554
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330464637525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464643811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464656156
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1330464656252
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330464657916
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330464659010
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1330464661226
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1330464661318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464661337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464663148
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330464668158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330464674440
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1330464675626
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1330464675707
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330464678849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464684083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330464692373
